时间(ms),颗粒温度(K),火焰温度(K),颗粒半径(um),氧化层厚度(um),火焰半径(um),Mg质量(ug),MgO质量(ug),碳质量(ug),对流换热(W),辐射换热(W),反应热(W),表面反应热(W),总热量(W)
7.4,944.037200300475,NaN,20.155003887217,1.00000762434701,NaN,5.12252510748493e-05,1.77232597762232e-05,1.34540498131704e-11,0.0044642590114696,0.00123372230908393,4.7944476830608e-07,4.7944476830608e-07,0.00569846076532184
7.5,950.033555191784,NaN,20.1550043290987,1.00000849104959,NaN,5.12252479800184e-05,1.77232649082563e-05,1.4983447631646e-11,0.00442169811534134,0.00122900500358676,5.13741929677893e-07,5.13741929677893e-07,0.00565121686085778
7.6,955.987442947126,NaN,20.1550048016212,1.00000941785067,NaN,5.12252446705871e-05,1.77232703961526e-05,1.66188962825448e-11,0.00437943864771823,0.00122423189399506,5.49365597739767e-07,5.49365597739767e-07,0.00560421990731103
7.7,961.895627827979,NaN,20.1550053059409,1.00001040701864,NaN,5.12252411384554e-05,1.77232762533439e-05,1.83643985818561e-11,0.00433750357533937,0.00121940644411412,5.86333855836026e-07,5.86333855836026e-07,0.00555749635330933
7.8,967.754651750266,NaN,20.15500584323,1.00001146085238,NaN,5.12252373754145e-05,1.77232824934427e-05,2.02240111858593e-11,0.00429591744310965,0.00121453252774158,6.2466479052927e-07,6.2466479052927e-07,0.00551107463564177
7.9,973.560868389265,NaN,20.1550064147564,1.00001258183912,NaN,5.1225233372583e-05,1.77232891311766e-05,2.22021230865565e-11,0.00425470613204719,0.00120961441801542,6.64470036460604e-07,6.64470036460604e-07,0.00546498502009907
8,979.315904577095,NaN,20.1550070334489,1.00001379533819,NaN,5.12252290394073e-05,1.77232963167068e-05,2.43434838270232e-11,0.00421385809772832,0.00120465205337316,7.19307158652075e-07,7.19307158652075e-07,0.00541922945826014
8.1,985.022773759858,NaN,20.155007711531,1.0000151253253,NaN,5.12252242902749e-05,1.77233041920014e-05,2.66904013420835e-11,0.00417335195355617,0.00119964407425137,7.88355991564325e-07,7.88355991564325e-07,0.00537378438379911
8.2,990.681786702692,NaN,20.1550084541944,1.00001658198314,NaN,5.12252190888251e-05,1.77233128173555e-05,2.92608441688207e-11,0.00413318549451917,0.0011945913971853,8.63440657982934e-07,8.63440657982934e-07,0.00532864033236245
8.3,996.293253594782,NaN,20.155009266864,1.00001817595124,NaN,5.12252133970663e-05,1.77233222557692e-05,3.20735870134493e-11,0.0040933565197057,0.00118949494665183,9.44831959663573e-07,9.44831959663573e-07,0.00528379629831719
8.4,1001.85748404915,NaN,20.1550101551973,1.00001991832601,NaN,5.12252071753754e-05,1.77233325729481e-05,3.51482107513152e-11,0.00405386283230415,0.00118435565438906,1.03280069728906e-06,1.03280069728906e-06,0.0052392512873905
8.5,1007.37478710245,NaN,20.1550111250847,1.00002182066069,NaN,5.12252003824978e-05,1.77233438373026e-05,3.85051024268953e-11,0.00401470223960289,0.00117917445872595,1.12761767154234e-06,1.12761767154234e-06,0.00519500431600039
8.6,1012.84547121476,NaN,20.1550121826497,1.00002389496538,NaN,5.12251929755479e-05,1.77233561199485e-05,4.2165455253798e-11,0.00397587255299029,0.00117395230392209,1.22955368632448e-06,1.22955368632448e-06,0.0051510544105987
8.7,1018.26984426943,NaN,20.1550133342486,1.00002615370704,NaN,5.12251849100085e-05,1.77233694947068e-05,4.61512686147628e-11,0.00393737158795473,0.00116869013951784,1.33887954017286e-06,1.33887954017286e-06,0.00510740060701274
8.8,1023.64821357283,NaN,20.1550145864705,1.00002860980945,NaN,5.12251761397312e-05,1.77233840381035e-05,5.04853480616605e-11,0.00389919716408461,0.00116338891969518,1.45586603698867e-06,1.45586603698867e-06,0.00506404194981678
8.9,1028.98088585424,NaN,20.1550159461374,1.00003127665329,NaN,5.12251666169362e-05,1.772339982937e-05,5.5191305315493e-11,0.00386134710506838,0.00115804960264918,1.58078397423648e-06,1.58078397423648e-06,0.00502097749169179
9,1034.26816726563,NaN,20.1550174203044,1.00003416807604,NaN,5.12251562922123e-05,1.77234169504426e-05,6.02935582663938e-11,0.00382381923869451,0.00115267314997044,1.71390415581741e-06,1.71390415581741e-06,0.00497820629282077
9.1,1039.51036338153,NaN,20.1550190162593,1.00003729837206,NaN,5.12251451145172e-05,1.77234354859629e-05,6.58173309736272e-11,0.00378661139685153,0.00114726052603869,1.85549738455991e-06,1.85549738455991e-06,0.00493572742027478
9.2,1044.70777919883,NaN,20.1550207415229,1.00004068229256,NaN,5.12251330311771e-05,1.77234555232779e-05,7.17886536655888e-11,0.00374972141552802,0.00114181269742739,2.00583445685578e-06,2.00583445685578e-06,0.00489353994741227
9.3,1049.86071913666,NaN,20.1550226038486,1.00004433504561,NaN,5.12251199878869e-05,1.77234771524394e-05,7.82343627398061e-11,0.00371314713481265,0.00113633063231982,2.16518617982439e-06,2.16518617982439e-06,0.00485164295331229
9.4,1054.96948703622,NaN,20.1550246112232,1.00004827229611,NaN,5.12251059287101e-05,1.77235004662045e-05,8.51821007629367e-11,0.00367688639889412,0.00113081529993647,2.33382335093048e-06,2.33382335093048e-06,0.00481003552218152
9.5,1060.03438616064,NaN,20.155026771866,1.00005251016582,NaN,5.12250907960789e-05,1.77235255600357e-05,9.26603164707703e-11,0.00364093705606126,0.00112526766997396,2.51201677085681e-06,2.51201677085681e-06,0.00476871674280608
9.6,1065.05571919484,NaN,20.1550290942294,1.00005706523335,NaN,5.12250745307943e-05,1.77235525321003e-05,1.00698264768228e-10,0.00360529695870296,0.00111968871205552,2.70003724457726e-06,2.70003724457726e-06,0.00472768570800305
9.7,1070.03378824541,NaN,20.1550315869984,1.00006195453417,NaN,5.12250570720258e-05,1.7723581483271e-05,1.09326006729361e-10,0.00356996396330821,0.0011140793951931,2.89815556955658e-06,2.89815556955658e-06,0.00468694151407086
9.8,1074.96889484047,NaN,20.1550342590913,1.0000671955606,NaN,5.12250383573117e-05,1.77236125171258e-05,1.18574409597353e-10,0.00353493593046611,0.00110844068726118,3.10664254969578e-06,3.10664254969578e-06,0.00464648326027698
9.9,1079.86133992953,NaN,20.155037119659,1.0000728062618,NaN,5.12250183225588e-05,1.77236457399475e-05,1.28475146784519e-10,0.00350021072486585,0.00110277355448226,3.32576898460495e-06,3.32576898460495e-06,0.00460631004833272
10,1084.7114238834,NaN,20.1550401780855,1.00007880504379,NaN,5.12249969020426e-05,1.77236812607244e-05,1.39060697872304e-10,0.00346578621529678,0.00109707896092414,3.55580567711266e-06,3.55580567711266e-06,0.00456642098189803
10.1,1089.51944649407,NaN,20.1550434439874,1.00008521076944,NaN,5.12249740284075e-05,1.77237191911498e-05,1.50364348611284e-10,0.00343166027464832,0.00109135786800891,3.79702342682879e-06,3.79702342682879e-06,0.00452681516608406
10.2,1094.28570697458,NaN,20.1550469272145,1.00009204275847,NaN,5.12249496326664e-05,1.77237596456222e-05,1.62420190921169e-10,0.00339783077991005,0.00108561123403381,4.04969303658198e-06,4.04969303658198e-06,0.00448749170698044
10.3,1099.01050395895,NaN,20.1550506378493,1.00009932078745,NaN,5.12249236442007e-05,1.77238027412454e-05,1.75263122890796e-10,0.00336429561217167,0.00107984001370372,4.31408530598216e-06,4.31408530598216e-06,0.00444844971118137
10.4,1103.69413550204,NaN,20.1550545862073,1.00010706508982,NaN,5.12248959907607e-05,1.77238485978282e-05,1.88928848778139e-10,0.00333105265662302,0.00107404515767554,4.59047103785768e-06,4.59047103785768e-06,0.00440968828533642
10.5,1108.33689907948,NaN,20.1550587828369,1.00011529635584,NaN,5.12248665984653e-05,1.77238973378847e-05,2.03453879010297e-10,0.0032980998025541,0.0010682276121142,4.87912103289167e-06,4.87912103289167e-06,0.00437120653570119
10.6,1112.93909158757,NaN,20.1550632385192,1.00012403573265,NaN,5.12248353918021e-05,1.77239490866341e-05,2.18875530183504e-10,0.00326543494335503,0.00106238831826049,5.18030609176676e-06,5.18030609176676e-06,0.00433300356770728
10.7,1117.50100934321,NaN,20.1550679642684,1.00013330482421,NaN,5.12248022936273e-05,1.77240039720008e-05,2.35231925063126e-10,0.0032330559765161,0.00105652821201041,5.49429701731132e-06,5.49429701731132e-06,0.00429507848554382
10.8,1122.02294808378,NaN,20.1550729713316,1.00014312569138,NaN,5.12247672251658e-05,1.77240621246143e-05,2.52561992583656e-10,0.00320096080362776,0.0010506482235063,5.82136460913576e-06,5.82136460913576e-06,0.00425743039174319
10.9,1126.50520296708,NaN,20.1550782711887,1.00015352085181,NaN,5.12247301060112e-05,1.77241236778095e-05,2.70905467848722e-10,0.00316914733038061,0.00104474927673943,6.16177966899542e-06,6.16177966899542e-06,0.00422005838678903
