时间(ms),颗粒温度(K),火焰温度(K),颗粒半径(um),氧化层厚度(um),火焰半径(um),Mg质量(ug),MgO质量(ug),碳质量(ug),对流换热(W),辐射换热(W),反应热(W),表面反应热(W),总热量(W),Mg质量变化率(ug/s),MgO质量变化率(ug/s),C质量变化率(ug/s),Mg核半径变化率(um/s),颗粒半径变化率(um/s)
12.5,855.122283998582,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00949170253306865,0.00448965001349506,0,0,0.0139813525465637,0,0,0,0,0
12.6,858.630124775082,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00944532223675667,0.00448255679956983,0,0,0.0139278790363265,0,0,0,0,0
12.7,862.124547657626,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00939911935040634,0.00447540374965494,0,0,0.0138745231000613,0,0,0,0,0
12.8,865.605581792018,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00935309348865492,0.00446819109900916,0,0,0.0138212845876641,0,0,0,0,0
12.9,869.073256211218,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00930724426763173,0.00446091908975378,0,0,0.0137681633573855,0,0,0,0,0
13,872.527599835333,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00926157130495817,0.00445358797080926,0,0,0.0137151592757674,0,0,0,0,0
13.1,875.968641471625,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00921607421974775,0.00444619799783164,0,0,0.0136622722175794,0,0,0,0,0
13.2,879.396409814502,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00917075263260602,0.00443874943314863,0,0,0.0136095020657546,0,0,0,0,0
13.3,882.810933445526,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00912560616563065,0.00443124254569559,0,0,0.0135568487113262,0,0,0,20.8285401729832,-23.8585464319013
13.4,886.210405395272,NaN,37.5449999952283,0.0999999910625851,NaN,0.000382665546886576,6.44836613955579e-06,-5.73095066423895e-14,0.0090806587092244,0.00442368171563576,0,0,0.0135043404248602,0,0,0,107.654126769736,-123.315020575475
13.5,889.590833073032,NaN,37.544999975337,0.099999953806173,NaN,0.000382665547370005,6.44836533790547e-06,-2.96209415275571e-13,0.00903596305052204,0.0044160764623056,0,0,0.0134520395128276,0,0,0,223.538262824219,-256.057314565981
13.6,892.953606626643,NaN,37.5449999440168,0.0999998951434696,NaN,0.000382665548131196,6.44836407565388e-06,-6.72373166733372e-13,0.00899150081007477,0.00440842441202943,0,0,0.0133999252221042,0,0,0,305.23469223085,-349.638395492901
13.7,896.300325425746,NaN,37.5449999054093,0.0999998228315554,NaN,0.000382665549069494,6.44836251971086e-06,-1.13605993840041e-12,0.00894725084221494,0.00440072257501054,0,0,0.0133479734172255,0,0,0,352.017812685692,-403.227256272342
13.8,899.632516440633,NaN,37.5449998633714,0.0999997440944558,NaN,0.000382665550091165,6.44836082551642e-06,-1.64094703043703e-12,0.00890319295844413,0.00439296797606929,0,0,0.0132961609345134,0,0,0,366.372208992267,-419.66989372576
13.9,902.951634242417,NaN,37.5449998214753,0.0999996656231349,NaN,0.000382665551109386,6.44835913704078e-06,-2.14412986577928e-12,0.00885930792743284,0.00438515766275355,0,0,0.0132444655901864,0,0,0,350.782499835419,-401.81223691198
